"iso3c","type","num_additional_farms","estimated","avg_tonnes_per_farm"
"TUR","salmon",21,0,866.402352288059
"RUS","salmon",16,1,866.402352288059
"ISL","salmon",8,1,866.402352288059
"JPN","salmon",15,1,866.402352288059
"NZL","salmon",22,0,866.402352288059
