lon,lat,iso3c,data_quality,action_needed,subregion
-48.55541482145349,-25.98352722103732,BRA,3,Allocate spatially,Santa Catarina
-48.469102255273775,-26.13217064148927,BRA,3,Allocate spatially,Santa Catarina
-48.505281015708086,-26.339625652319725,BRA,3,Allocate spatially,Santa Catarina
-48.536146585614915,-26.491103860972,BRA,3,Allocate spatially,Santa Catarina
-48.646051095870554,-26.643877895113896,BRA,3,Allocate spatially,Santa Catarina
-48.564956696125336,-26.827174652933532,BRA,3,Allocate spatially,Santa Catarina
-48.53587034087864,-27.02033135013094,BRA,3,Allocate spatially,Santa Catarina
-48.444231392009,-27.1180885340592,BRA,3,Allocate spatially,Santa Catarina
-48.44970735478657,-27.237387384435333,BRA,3,Allocate spatially,Santa Catarina
-48.508109297003976,-27.2793171391421,BRA,3,Allocate spatially,Santa Catarina
-48.3772337152979,-27.37545672432191,BRA,3,Allocate spatially,Santa Catarina
-48.38321794249926,-27.533763283587987,BRA,3,Allocate spatially,Santa Catarina
-48.42714247503043,-27.70081535900552,BRA,3,Allocate spatially,Santa Catarina
-48.40475023952371,-27.819629305371038,BRA,3,Allocate spatially,Santa Catarina
-48.535826387881116,-27.901673240321696,BRA,3,Allocate spatially,Santa Catarina
-48.563284026317156,-28.026582595943168,BRA,3,Allocate spatially,Santa Catarina
-48.61928245093762,-28.255711429954477,BRA,3,Allocate spatially,Santa Catarina
-48.61961395055546,-28.378061836073265,BRA,3,Allocate spatially,Santa Catarina
-48.714267742564644,-28.478567637072963,BRA,3,Allocate spatially,Santa Catarina
-48.849826267263396,-28.645977686845036,BRA,3,Allocate spatially,Santa Catarina
-49.072740593751234,-28.76648125266405,BRA,3,Allocate spatially,Santa Catarina
-49.277474994642915,-28.91544765967194,BRA,3,Allocate spatially,Santa Catarina
-49.4632307420855,-29.087533319411854,BRA,3,Allocate spatially,Santa Catarina
-49.633590038055814,-29.27516858227633,BRA,3,Allocate spatially,Santa Catarina
-48.580979172042795,-27.52402903246524,BRA,3,Allocate spatially,Santa Catarina
-48.599560389559564,-27.475673132477773,BRA,3,Allocate spatially,Santa Catarina
-48.29853239715783,-27.251458551799352,BRA,3,Allocate spatially,Santa Catarina
