"iso3c","type","num_additional_farms","avg_tonnes_per_farm","estimated"
"BGD","crustaceans",43,337.7357,1
"CHN","crustaceans",847,337.7357,1
"IDN","crustaceans",40,337.7357,1
"MMR","crustaceans",9,337.7357,1
"PHL","crustaceans",54,337.7357,1
"VNM","crustaceans",199,337.7357,1
