lon,lat,iso3c,data_quality,subregion
-67.00944267254538,44.89792223398776,USA,2,Maine
-68.43808805993457,44.12034120317987,USA,2,Maine
-67.57986661307892,44.49165139929367,USA,2,Maine
-67.57531708812863,44.50281523320052,USA,2,Maine
-67.37237675823647,44.60122767850065,USA,2,Maine
-67.38273963012357,44.60444107514759,USA,2,Maine
-66.98689534616135,44.874726612885205,USA,2,Maine
-67.02433951265894,44.89051853557985,USA,2,Maine
-66.99049066711822,44.89334595589737,USA,2,Maine
-67.02177734761278,44.904855002551336,USA,2,Maine
-67.01158160464254,44.93084542695494,USA,2,Maine
-67.00838151404274,44.87383247311483,USA,2,Maine
-66.99386792026522,44.86412235984929,USA,2,Maine
-66.99533936446852,44.919164259347696,USA,2,Maine
-67.06246474469425,44.895943495684556,USA,2,Maine
-67.05810302790017,44.917167371971885,USA,2,Maine
-66.99480352154856,44.876350699688814,USA,2,Maine
-67.31704910198711,44.62117923642423,USA,2,Maine
-67.2972040196553,44.634038875277525,USA,2,Maine
-67.31742274566736,44.6159429002812,USA,2,Maine
-67.5534711383205,44.493770050128504,USA,2,Maine
