lat,lon,rgn_production,subregion,iso3c,data_quality
31.360400495764903,27.236078999801336,5,Mersa Matruh,EGY,2
31.15023941171644,29.81109569981684,1521,Alexandria,EGY,2
31.319036258284083,30.225935332660324,20376,Behira,EGY,2
31.491306679824632,31.4278324391214,5460,Dakahlia,EGY,2
31.52619128473819,31.849352783373792,55551,Damietta,EGY,2
31.275726202441984,32.30190584291966,16233,Port Said,EGY,2
29.944394112057978,32.54627145839493,750,Suez,EGY,2
27.80632012228518,34.29387671355847,30,South Sinai,EGY,2
