"iso3c","type","num_additional_farms","avg_tonnes_per_farm","estimated"
"BGD","crustaceans",43,336.5783,1
"IDN","crustaceans",40,336.5783,1
"MMR","crustaceans",10,336.5783,1
"PHL","crustaceans",54,336.5783,1
"VNM","crustaceans",199,336.5783,1
"CHN","crustaceans",757,336.5783,1
