lon,lat,iso3c,data_quality
-87.414097,13.157444,HND,2
-87.439722,13.265833,HND,2
-87.560336,13.389225,HND,2
-87.412467,13.158244,HND,2
-87.402256,13.146278,HND,2
-87.412467,13.174911,HND,2
-87.172578,13.094828,HND,2
-87.420875,13.347744,HND,2
-87.436353,13.314647,HND,2
-87.397281,13.366006,HND,2
-87.311472,13.115669,HND,2
-87.322439,13.119906,HND,2
-87.356011,13.074375,HND,2
-87.208875,13.042228,HND,2
-87.244294,13.023428,HND,2
-87.251928,12.998864,HND,2
-87.269952,13.124543,HND,2
-87.275051,12.999111,HND,2
-87.428056,13.262778,HND,2
-87.460833,13.256389,HND,2
