"iso3c","type","n_farms","country","year","fao_tonnes_production","tonnes_per_farm"
"AUS","tuna",10,"Australia",2017,8100,810
"ESP","tuna",15,"Spain",2017,1030,68.6666666666667
"HRV","tuna",15,"Croatia",2017,1081,72.0666666666667
"JPN","tuna",92,"Japan",2017,15858,172.369565217391
"MEX","tuna",13,"Mexico",2017,5721.56,440.12
"MLT","tuna",16,"Malta",2017,4505,281.5625
"TUR","tuna",8,"Turkey",2017,777,97.125
