lon,lat,iso3c,data_quality
-81.110611,-5.832639,PER,4
-78.439947,-9.345117,PER,4
-78.452169,-9.362617,PER,4
-78.450733,-9.333749,PER,4
-78.436613,-9.338728,PER,4
-78.460586,-9.334895,PER,4
-78.461312,-9.354996,PER,4
-78.426167,-9.348506,PER,4
-78.430214,-9.372137,PER,4
-78.452169,-9.362617,PER,4
-78.450733,-9.33375,PER,4
-78.436614,-9.338728,PER,4
-78.460586,-9.334906,PER,4
-78.430363,-9.376923,PER,4
-81.098917,-5.830011,PER,4
-81.096353,-5.831486,PER,4
-81.1234,-5.83453,PER,4
-80.959626,-5.808963,PER,4
-80.955016,-5.532053,PER,4
-81.117778,-5.831806,PER,4
-78.428833,-9.348861,PER,4
-78.461441,-9.33976,PER,4
-78.451611,-9.334,PER,4
-81.095022,-5.822331,PER,4
-78.525169,-9.266922,PER,4
