"country","species_group","fao_tonnes_production","number_of_total_farms","tonnes_per_farm","data_type_2"
"Albania","General marine fish",3400,23,147.826086956522,"C"
"Australia","Salmonidae fish",52580.2,50,1051.604,"A"
"Australia","Shrimps and prawns",4264.1,13,336.6,"D"
"Australia","Unfed or algae fed bivalve molluscs",16616.71,69,240.821884057971,"C"
"Australia","General marine fish",6364.27,8,865.7,"D"
"Australia","Bluefin tuna",8100,10,810,"A"
"Bangladesh","Shrimps and prawns",81722,243,336.6,"D"
"Bangladesh","General marine fish",116110,135,865.7,"F"
"Bangladesh","Non-shrimp crustaceans",14421,43,336.6,"F"
"Belize","Shrimps and prawns",500,12,41.6666666666667,"A"
"Brazil","Shrimps and prawns",60000,179,336.6,"F"
"Brazil","Unfed or algae fed bivalve molluscs",20900,27,774.074074074074,"B"
"Brunei","Shrimps and prawns",1240,6,206.666666666667,"D"
"Bulgaria","Unfed or algae fed bivalve molluscs",3291.58,44,74.8086363636364,"A"
"Cambodia","Shrimps and prawns",1000,3,336.6,"F"
"Cambodia","Unfed or algae fed bivalve molluscs",8300,30,283.4,"F"
"Cambodia","General marine fish",850,1,865.7,"F"
"Canada","Salmonidae fish",140912,345,408.440579710145,"A"
"Canada","Unfed or algae fed bivalve molluscs",39611,175,226.348571428571,"A"
"Chile","Salmonidae fish",852241.12,1830,465.705530054645,"A"
"Chile","Unfed or algae fed bivalve molluscs",347147.98,1870,185.640631016043,"A"
"China","Shrimps and prawns",1345154,3997,336.6,"D"
"China","Unfed or algae fed bivalve molluscs",14646278.16,51679,283.4,"D"
"China","General marine fish",1419359,1640,865.7,"D"
"China","Non-shrimp crustaceans",286031,850,336.6,"D"
"Colombia","Shrimps and prawns",3700,20,185,"C"
"Costa Rica","Shrimps and prawns",3000,90,33.3333333333333,"B"
"Costa Rica","General marine fish",700,1,700,"D"
"Croatia","Unfed or algae fed bivalve molluscs",919.76,266,3.45774436090226,"B"
"Croatia","General marine fish",10445.41,59,177.040847457627,"C"
"Croatia","Bluefin tuna",1081,15,72.0666666666667,"C"
"Cuba","Shrimps and prawns",5631,5,1126.2,"C"
"Cuba","Unfed or algae fed bivalve molluscs",1089,4,272.25,"D"
"Cyprus","General marine fish",7203,12,600.25,"A"
"Democratic People’s Republic of Korea","Unfed or algae fed bivalve molluscs",62000,219,283.4,"F"
"Denmark","Salmonidae fish",13036,22,592.545454545455,"A"
"Denmark","Unfed or algae fed bivalve molluscs",2414,42,57.4761904761905,"A"
"Ecuador","Shrimps and prawns",440000,1308,336.6,"D"
"Egypt","General marine fish",273248,316,865.7,"D"
"El Salvador ","Shrimps and prawns",1150,39,29.4871794871795,"B"
"Faroe Islands","Salmonidae fish",86800,20,4340,"A"
"Finland","Salmonidae fish",12286.6,268,45.8455223880597,"A"
"France","Unfed or algae fed bivalve molluscs",137048,245,559.379591836735,"A"
"France","General marine fish",3500,5,865.7,"D"
"French Polynesia","Unfed or algae fed bivalve molluscs",1200,2,600,"A"
"Germany","Unfed or algae fed bivalve molluscs",16856,11,1532.36363636364,"C"
"Greece","Unfed or algae fed bivalve molluscs",19155.8,174,110.090804597701,"A"
"Greece","General marine fish",102889.3,278,370.105395683453,"A"
"Guatemala","Shrimps and prawns",16455,22,747.954545454545,"C"
"Guernsey","Unfed or algae fed bivalve molluscs",656.1,7,93.7285714285714,"B"
"Honduras","Shrimps and prawns",31500,94,336.6,"D"
"Hong Kong ","Unfed or algae fed bivalve molluscs",625,1,625,"A"
"Hong Kong ","General marine fish",750,26,28.8461538461538,"A"
"Iceland","Salmonidae fish",15719,19,866.4,"D"
"India","Shrimps and prawns",643161,1911,336.6,"D"
"India","Unfed or algae fed bivalve molluscs",13000,250,52,"E"
"India","General marine fish",96000,111,865.7,"F"
"Indonesia","Shrimps and prawns",893855,2656,336.6,"D"
"Indonesia","Unfed or algae fed bivalve molluscs",62231,220,283.4,"D"
"Indonesia","General marine fish",739352,855,865.7,"D"
"Indonesia","Non-shrimp crustaceans",13189,40,336.6,"F"
"Iran","Shrimps and prawns",32332,205,157.717073170732,"C"
"Iran","General marine fish",14050,17,865.7,"F"
"Ireland","Salmonidae fish",18342,95,193.073684210526,"A"
"Ireland","Unfed or algae fed bivalve molluscs",26161.9,913,28.654874041621,"A"
"Israel","General marine fish",2100,3,865.7,"D"
"Italy","Unfed or algae fed bivalve molluscs",100200,133,753.383458646617,"A"
"Italy","General marine fish",15100,90,167.777777777778,"C"
"Japan","Salmonidae fish",15648,19,866.4,"D"
"Japan","Shrimps and prawns",1354,5,336.6,"F"
"Japan","Unfed or algae fed bivalve molluscs",308990,1091,283.4,"D"
"Japan","General marine fish",216127,250,865.7,"D"
"Japan","Bluefin tuna",15858,92,172.369565217391,"B"
"Jersey","Unfed or algae fed bivalve molluscs",656.1,5,131.22,"A"
"Madagascar","Shrimps and prawns",5439,6,906.5,"C"
"Malaysia","Shrimps and prawns",45780.96,137,336.6,"D"
"Malaysia","Unfed or algae fed bivalve molluscs",16110.88,57,283.4,"F"
"Malaysia","General marine fish",57954.42,67,865.7,"D"
"Malta","General marine fish",2458.2,17,144.6,"A"
"Malta","Bluefin tuna",4505,16,281.5625,"A"
