"country","species_group","fao_tonnes_production","number_of_total_farms","tonnes_per_farm","data_type_2"
"Mauritius","General marine fish",1200,2,865.7,"F"
"Mexico","Shrimps and prawns",150029.85,446,336.6,"D"
"Mexico","Unfed or algae fed bivalve molluscs",15400.28,55,283.4,"D"
"Mexico","General marine fish",655.98,2,327.99,"D"
"Mexico","Bluefin tuna",5721.56,13,440.12,"A"
"Myanmar","Shrimps and prawns",55309.51,165,336.6,"F"
"Myanmar","Non-shrimp crustaceans",3037.63,10,336.6,"F"
"Netherlands","Unfed or algae fed bivalve molluscs",46250,82,564.024390243902,"C"
"New Caledonia","Shrimps and prawns",1450,5,336.6,"D"
"New Zealand","Salmonidae fish",13234,23,575.391304347826,"C"
"New Zealand","Unfed or algae fed bivalve molluscs",101550,910,111.593406593407,"C"
"Nicaragua","Shrimps and prawns",24888,74,336.6,"D"
"Norway","Salmonidae fish",1303255.33,920,1416.58188043478,"A"
"Norway","Unfed or algae fed bivalve molluscs",2382.87,157,15.1775159235669,"A"
"Norway","General marine fish",1623.07,48,33.8139583333333,"A"
"Panama","Shrimps and prawns",7522,23,336.6,"D"
"Panama","General marine fish",1800,3,865.7,"D"
"Peru","Shrimps and prawns",27491.66,72,381.828611111111,"C"
"Peru","Unfed or algae fed bivalve molluscs",11926.98,52,229.365,"C"
"Philippines","Shrimps and prawns",62421.3,271,230.336900369004,"B"
"Philippines","Unfed or algae fed bivalve molluscs",42153,556,75.8147482014388,"B"
"Philippines","General marine fish",365198.3,422,865.7,"F"
"Philippines","Non-shrimp crustaceans",18097.5,54,336.6,"F"
"Portugal","Unfed or algae fed bivalve molluscs",6379.33,30,212.644333333333,"C"
"Portugal","General marine fish",4483.83,112,40.0341964285714,"B"
"Republic of Korea","Shrimps and prawns",5144,16,336.6,"F"
"Republic of Korea","Unfed or algae fed bivalve molluscs",453634,5245,86.4888465204957,"C"
"Republic of Korea","General marine fish",84234,612,137.637254901961,"B"
"Russian Federation","Salmonidae fish",13016,16,866.4,"F"
"Russian Federation","Unfed or algae fed bivalve molluscs",8087,29,283.4,"F"
"Saudi Arabia","Shrimps and prawns",39200,117,336.6,"D"
"Saudi Arabia","General marine fish",7730,1,7730,"A"
"Singapore","General marine fish",2907.2,109,26.6715596330275,"B"
"Slovenia","Unfed or algae fed bivalve molluscs",641.4,20,32.07,"B"
"South Africa","Unfed or algae fed bivalve molluscs",3359.52,25,134.3808,"C"
"Spain","Unfed or algae fed bivalve molluscs",242482.57,856,283.4,"F"
"Spain","General marine fish",47652.42,186,256.195806451613,"A"
"Spain","Bluefin tuna",1030,15,68.6666666666667,"A"
"Sri Lanka","Shrimps and prawns",4630,130,35.6153846153846,"B"
"Sweden","Salmonidae fish",2856,22,129.818181818182,"A"
"Sweden","Unfed or algae fed bivalve molluscs",2014,8,283.4,"D"
"Taiwan","Shrimps and prawns",5000.97,15,336.6,"F"
"Taiwan","Unfed or algae fed bivalve molluscs",75240.97,266,283.4,"F"
"Taiwan","General marine fish",73899.34,86,865.7,"D"
"Thailand","Shrimps and prawns",359271,1068,336.6,"D"
"Thailand","Unfed or algae fed bivalve molluscs",97728,345,283.4,"D"
"Thailand","General marine fish",22455,26,865.7,"D"
"Tunisia","General marine fish",20289,20,1014.45,"B"
"Turkey","Salmonidae fish",5952,21,283.428571428571,"B"
"Turkey","General marine fish",161758,323,500.798761609907,"C"
"Turkey","Bluefin tuna",777,8,97.125,"C"
"United Arab Emirates","General marine fish",2475,1,2475,"A"
"United Kingdom","Salmonidae fish",193189,216,894.393518518518,"A"
"United Kingdom","Unfed or algae fed bivalve molluscs",18472.08,358,51.5979888268156,"A"
"United States of America","Salmonidae fish",14685,29,506.379310344828,"D"
"United States of America","Shrimps and prawns",1633,10,163.3,"A"
"United States of America","Unfed or algae fed bivalve molluscs",171497,1203,142.557772236076,"C"
"United States of America","General marine fish",1643,2,865.7,"D"
"Venezuela","Shrimps and prawns",24500,73,336.6,"D"
"Viet Nam","Shrimps and prawns",708403.73,2105,336.6,"D"
"Viet Nam","Unfed or algae fed bivalve molluscs",284965.52,1006,283.4,"D"
"Viet Nam","General marine fish",13249.34,16,865.7,"D"
"Viet Nam","Non-shrimp crustaceans",66942.96,199,336.6,"F"
