species_group,spp_prod_per_farm
Salmonidae fish,866.4
Unfed or algae fed bivalve molluscs,283.4
Shrimps and prawns,336.6
Bluefin tuna,277.4
General marine fish,865.7
Non-shrimp crustaceans,336.6
