lon,lat,iso3c,data_quality,action_needed
50.691944,29.212777987821397,IRN,4,Land mask
50.68972200000001,29.32083298786768,IRN,4,Land mask
50.61305599999999,29.536110987960907,IRN,4,Land mask
51.147499999999994,28.77249998763663,IRN,4,Land mask
51.343056,28.159999987390172,IRN,4,Land mask
51.00277799999999,29.072221987761733,IRN,4,Land mask
56.869167,27.108332986998946,IRN,4,Land mask
56.858332999999995,27.086666986991364,IRN,4,Land mask
61.45833299999999,25.167221986400698,IRN,4,Land mask
61.44444399999998,25.19277798640744,IRN,4,Land mask
48.579097,30.05293698818998,IRN,4,Land mask
55.399443999999995,26.78499998688758,IRN,4,Land mask
53.507778,26.93138898693746,IRN,4,Land mask
51.057222,28.75694398763018,IRN,4,Land mask
