lon,lat,iso3c,data_quality,action_needed
-71.50519208802392,-30.258403928728388,CHL,5,Land mask
-71.50637336078829,-30.25864761143249,CHL,5,Land mask
-73.36388864462145,-39.887485716839294,CHL,5,Land mask
-73.2044405986634,-39.44285435574129,CHL,5,Land mask
-73.72939989670678,-42.86142166890608,CHL,5,Land mask
-73.776327551236193,-42.54334054442763,CHL,5,Land mask
-73.77324295801168,-42.5433124030589,CHL,5,Land mask
-73.51386805818339,-42.40800143801222,CHL,5,Land mask
-73.07783397804998,-41.815891276193284,CHL,5,Land mask
-73.42726049508852,-38.745422378052204,CHL,5,Land mask
-71.53504813620303,-30.27162237172184,CHL,5,Land mask
-71.52589543679996,-30.2787688280496,CHL,5,Land mask
-70.6072663862264,-23.469743265609495,CHL,5,Land mask
-70.16537659319029,-20.47183742310235,CHL,5,Land mask
-70.48178047901283,-23.095606966109738,CHL,5,Land mask
-73.43153495801779,-42.1107239187232,CHL,5,Land mask
-70.9107449948627,-27.130209101980853,CHL,5,Land mask
-70.84967596226556,-27.091013483046208,CHL,5,Land mask
-70.92381853197658,-27.641481177128018,CHL,5,Land mask
-72.7616461993535,-42.88998994845121,CHL,5,Land mask
-73.2968890318028,-42.31333883521327,CHL,5,Land mask
-73.52049128884856,-42.502046491923764,CHL,5,Land mask
-70.90815625197632,-27.134671251185143,CHL,5,Land mask
-73.5443478206665,-41.93358606421449,CHL,5,Land mask
-70.80328756124621,-26.956278738946114,CHL,5,Land mask
-70.85799876538076,-27.08201623039043,CHL,5,Land mask
-70.84328358944855,-27.08468467229882,CHL,5,Land mask
-70.85908330017996,-27.080377669444925,CHL,5,Land mask
-72.30572467742701,-41.49494720248977,CHL,5,Land mask
-72.73390252529255,-41.56620668330065,CHL,5,Land mask
-72.4454178151444,-42.01671033718982,CHL,5,Land mask
-73.51436226806716,-42.49353151053825,CHL,5,Land mask
-73.55703090133281,-42.39686700680469,CHL,5,Land mask
-73.5473562232977,-42.39808972687193,CHL,5,Land mask
-73.44520571710589,-42.32602598130813,CHL,5,Land mask
-73.09206196959363,-41.79094485481184,CHL,5,Land mask
-73.10020500051137,-41.83450837971,CHL,5,Land mask
-70.80504739912578,-26.955632949519774,CHL,5,Land mask
-73.38821527025036,-39.890377035980784,CHL,5,Land mask
-73.39117188789453,-39.87721669185739,CHL,5,Land mask
-73.19425466029689,-39.44178338951085,CHL,5,Land mask
-73.57790922345244,-39.955583582807144,CHL,5,Land mask
-73.35706403470682,-39.89285992791131,CHL,5,Land mask
-73.21349231649964,-39.44752702825129,CHL,5,Land mask
-73.36083297787766,-39.86375351528964,CHL,5,Land mask
-73.38959575550545,-39.89672061805278,CHL,5,Land mask
-73.2051022210929,-39.4496704228096,CHL,5,Land mask
-73.1675558579328,-39.44969806642883,CHL,5,Land mask
-73.17953215710631,-39.44657840256589,CHL,5,Land mask
-73.20030259474774,-39.44066660442562,CHL,5,Land mask
-73.21946044315953,-39.44579805726358,CHL,5,Land mask
-73.20904125218338,-39.44672387889265,CHL,5,Land mask
-72.42895135612498,-41.9805055464334,CHL,5,Land mask
-72.5117502464631,-42.01794987675869,CHL,5,Land mask
-72.50991004153752,-42.01428009253208,CHL,5,Land mask
-72.4533978034075,-41.98462467058101,CHL,5,Land mask
-72.46880616954795,-42.0842095543752,CHL,5,Land mask
-72.60516372977759,-42.07260359079924,CHL,5,Land mask
-72.51291107850297,-42.021641634534774,CHL,5,Land mask
-72.48403101536468,-42.0036084691892,CHL,5,Land mask
-72.47064727192424,-42.05568676405863,CHL,5,Land mask
-72.46354140855685,-41.98336291468495,CHL,5,Land mask
-72.48180367516784,-41.99572247310417,CHL,5,Land mask
-72.59334731871695,-42.047660464878795,CHL,5,Land mask
-72.48931484415449,-42.01223940418462,CHL,5,Land mask
-72.5173876726209,-42.28129516307092,CHL,5,Land mask
-72.50905135907138,-42.310665370251,CHL,5,Land mask
-72.52515471209693,-42.03023519509764,CHL,5,Land mask
-72.59695985491476,-42.028325134930434,CHL,5,Land mask
-72.50762984936739,-42.33763524748169,CHL,5,Land mask
-72.58938050261978,-42.05997776350961,CHL,5,Land mask
-72.45363497372136,-42.401352703556505,CHL,5,Land mask
-72.45317026775835,-41.99074751443325,CHL,5,Land mask
-72.50851806796838,-42.07087225857642,CHL,5,Land mask
-72.65575082831678,-42.03228911730596,CHL,5,Land mask
-72.5230814235724,-42.05766742907995,CHL,5,Land mask
-72.60220417197716,-42.06919307598884,CHL,5,Land mask
-72.48174074097531,-41.983484207473325,CHL,5,Land mask
-72.50374151426284,-42.00244483797638,CHL,5,Land mask
-72.5508013476418,-42.03931537572822,CHL,5,Land mask
-72.55907069260813,-42.046146840083615,CHL,5,Land mask
-72.60445819707324,-42.06564504024117,CHL,5,Land mask
-72.57798195321682,-42.05219307561941,CHL,5,Land mask
-72.4475100160851,-42.026587248077796,CHL,5,Land mask
-72.60869884231579,-42.07092268239629,CHL,5,Land mask
-72.47214368659363,-42.05960542620756,CHL,5,Land mask
-72.65630140760133,-42.02714859287964,CHL,5,Land mask
-72.56490690214252,-42.04913748312424,CHL,5,Land mask
