"lon","lat","iso3c","area_ha","prod"
105.368611,9.0625,"VNM",NA,NA
106.274731,9.552436,"VNM",NA,NA
106.276331,9.583997,"VNM",NA,NA
106.221742,9.579731,"VNM",NA,NA
106.178061,9.634267,"VNM",NA,NA
106.180414,9.637925,"VNM",NA,NA
106.207361,9.610583,"VNM",NA,NA
106.146331,9.659981,"VNM",NA,NA
106.263958,9.565981,"VNM",NA,NA
106.253667,9.551314,"VNM",NA,NA
106.263719,9.573775,"VNM",NA,NA
106.229536,9.510197,"VNM",NA,NA
106.265617,9.577978,"VNM",NA,NA
118.126772,38.078225,"CHN",NA,NA
117.975444,38.089881,"CHN",NA,NA
-110.083561,27.154806,"MEX",NA,NA
-110.085119,27.13075,"MEX",NA,NA
89.03,22.27,"BGD",NA,NA
105.912222,9.381389,"VNM",NA,NA
105.910833,9.375833,"VNM",NA,NA
105.907778,9.380833,"VNM",NA,NA
105.906753,9.384786,"VNM",NA,NA
105.905892,9.381328,"VNM",NA,NA
105.905661,9.381036,"VNM",NA,NA
105.900194,9.380967,"VNM",NA,NA
105.897411,9.379053,"VNM",NA,NA
105.900808,9.381392,"VNM",NA,NA
105.905542,9.37235,"VNM",NA,NA
105.906661,9.372353,"VNM",NA,NA
105.906531,9.375244,"VNM",NA,NA
105.899758,9.380542,"VNM",NA,NA
105.906681,9.376617,"VNM",NA,NA
105.898208,9.375461,"VNM",NA,NA
105.900381,9.374425,"VNM",NA,NA
105.913389,9.388353,"VNM",NA,NA
105.751419,9.212283,"VNM",NA,NA
-79.943981,-2.484561,"ECU",NA,NA
-80.023314,-2.470406,"ECU",NA,NA
-79.983422,-2.437753,"ECU",NA,NA
-79.766772,-2.788469,"ECU",NA,NA
88.017778,22.007222,"IND",NA,NA
-80.142203,-2.468786,"ECU",NA,NA
-80.558194,-2.480147,"ECU",NA,NA
-79.816586,-2.290467,"ECU",NA,NA
106.153494,9.420581,"VNM",NA,NA
105.928011,9.288797,"VNM",NA,NA
105.883419,9.273875,"VNM",NA,NA
79.823008,10.67058,"IND",NA,NA
80.060959,14.809616,"IND",NA,NA
89.504778,22.483111,"BGD",NA,NA
-80.045417,0.464072,"ECU",NA,NA
-71.989472,10.155589,"VEN",NA,NA
105.892606,9.285697,"VNM",NA,NA
108.477689,11.087244,"VNM",NA,NA
81.183583,16.295861,"IND",NA,NA
81.852833,16.453417,"IND",NA,NA
106.677944,10.027944,"VNM",NA,NA
-90.213581,13.811408,"GTM",NA,NA
-91.283314,13.959861,"GTM",NA,NA
-90.741817,13.938161,"GTM",NA,NA
-64.7295,10.109917,"VEN",NA,NA
-65.20775,10.046847,"VEN",NA,NA
80.166111,15.494722,"IND",NA,NA
105.201056,8.830222,"VNM",NA,NA
104.550467,10.302261,"VNM",NA,NA
86.307597,19.955811,"IND",NA,NA
82.60327,17.301053,"IND",NA,NA
82.18897,16.786253,"IND",NA,NA
80.15748,15.504801,"IND",NA,NA
106.115333,9.436542,"VNM",NA,NA
-87.397281,13.366006,"HND",NA,NA
-87.311472,13.115669,"HND",NA,NA
-87.322439,13.119906,"HND",NA,NA
-87.356011,13.074375,"HND",NA,NA
-87.208875,13.042228,"HND",NA,NA
107.341597,10.478136,"VNM",NA,NA
106.109667,9.434028,"VNM",NA,NA
105.754036,9.281942,"VNM",NA,NA
