"iso3c","type","n_farms","country","year","fao_tonnes_production","tonnes_per_farm"
"BLZ","shrimp",12,"Belize",2017,500,41.6666666666667
"COL","shrimp",20,"Colombia",2017,3700,185
"CRI","shrimp",90,"Costa Rica",2017,3000,33.3333333333333
"CUB","shrimp",5,"Cuba",2017,5631,1126.2
"GTM","shrimp",22,"Guatemala",2017,16455,747.954545454545
"IRN","shrimp",205,"Iran (Islamic Rep. of)",2017,32332,157.717073170732
"LKA","shrimp",130,"Sri Lanka",2017,4630,35.6153846153846
"MDG","shrimp",6,"Madagascar",2017,5439,906.5
"PER","shrimp",72,"Peru",2017,27491.66,381.828611111111
"PHL","shrimp",271,"Philippines",2017,62421.3,230.336900369004
"SLV","shrimp",39,"El Salvador",2017,1150,29.4871794871795
"USA","shrimp",10,"United States of America",2017,1633,163.3
