lon,lat,iso3c,data_quality,action_needed
-48.53044713692164,-26.130768753086514,BRA,3,Allocate spatially
-48.49716101510877,-26.292421076124366,BRA,3,Allocate spatially
-48.53759374063356,-26.43845275522487,BRA,3,Allocate spatially
-48.62775307913347,-26.58315148141892,BRA,3,Allocate spatially
-48.55335096217946,-26.76962323286369,BRA,3,Allocate spatially
-48.56212892621103,-26.96720517397752,BRA,3,Allocate spatially
-48.49425132364317,-27.081374515965784,BRA,3,Allocate spatially
-48.3986084503975,-27.21796255195424,BRA,3,Allocate spatially
-48.567328407615996,-27.27504653977305,BRA,3,Allocate spatially
-48.43008189123369,-27.351361446600404,BRA,3,Allocate spatially
-48.32951820474955,-27.50881223880178,BRA,3,Allocate spatially
-48.41789525183021,-27.649651411537477,BRA,3,Allocate spatially
-48.46099349801838,-27.823839139603834,BRA,3,Allocate spatially
-48.51084557870941,-27.87251607718406,BRA,3,Allocate spatially
-48.586364199358094,-27.970185722253884,BRA,3,Allocate spatially
-48.62219064507774,-28.196813485424414,BRA,3,Allocate spatially
-48.56681999517191,-28.359242942944192,BRA,3,Allocate spatially
-48.67263026901322,-28.442331097885123,BRA,3,Allocate spatially
-48.78959869076332,-28.628201029424982,BRA,3,Allocate spatially
-49.01759160398217,-28.734089979926534,BRA,3,Allocate spatially
-49.228430674505226,-28.874529477738136,BRA,3,Allocate spatially
-49.41921556165324,-29.041189024696173,BRA,3,Allocate spatially
-49.59166557015441,-29.226922552658436,BRA,3,Allocate spatially
-49.75026159976599,-29.378895906372176,BRA,3,Allocate spatially
-48.58031018472036,-27.52425835556115,BRA,3,Allocate spatially
-48.599619763096655,-27.476463437097483,BRA,3,Allocate spatially
-48.29677600024292,-27.254197856339182,BRA,3,Allocate spatially
